"search-number","evaluation","speed-limit*","num-cars*","power?*","fitness","num-replicates","best-fitness-so-far"
"1","10","0.6","100","true","41.442115768463076","10","41.442115768463076"
"1","20","0.30000000000000004","100","false","10.640718562874252","10","41.442115768463076"
"1","30","0.8","100","false","21.767664670658682","10","41.442115768463076"
"1","40","0.9","100","false","24.857085828343312","10","41.442115768463076"
"1","50","0.1","100","true","22.900199600798405","10","41.442115768463076"
"1","60","0.8","100","true","46.79341317365269","10","46.79341317365269"
"1","70","0.4","100","true","44.35429141716567","10","46.79341317365269"
"1","80","0.9","100","true","48.26506986027944","10","48.26506986027944"
"1","90","0.5","100","true","41.311976047904196","10","48.26506986027944"
"1","100","0.6","100","false","17.23692614770459","10","48.26506986027944"
"1","110","1","100","true","46.57085828343313","10","48.26506986027944"
"1","120","1","100","false","25.08363273453094","10","48.26506986027944"
"1","130","0.8","100","false","23.078642714570854","10","48.26506986027944"
"1","140","0.1","100","true","23.528942115768466","10","48.26506986027944"
"1","150","0.1","100","false","8.399001996007986","10","48.26506986027944"
"1","160","0.7000000000000001","100","true","43.72934131736527","10","48.26506986027944"
"1","170","0.4","100","false","13.274850299401198","10","48.26506986027944"
"1","180","0.30000000000000004","100","false","11.001596806387223","10","48.26506986027944"
"1","190","0.9","100","false","24.130339321357283","10","48.26506986027944"
"1","200","0.2","100","true","24.105588822355287","10","48.26506986027944"
"1","210","0.2","100","false","9.189820359281438","10","48.26506986027944"
"1","220","0.4","100","false","13.445908183632735","10","48.26506986027944"
"1","230","0.30000000000000004","100","true","41.89141716566867","10","48.26506986027944"
"1","240","0.8","100","true","46.85868263473054","10","48.26506986027944"
"1","250","0.9","100","true","48.21836327345309","10","48.26506986027944"
"1","260","0.6","100","true","41.41576846307386","10","48.26506986027944"
"1","270","0.4","100","true","44.08842315369262","10","48.26506986027944"
"1","280","0.6","100","false","18.080439121756484","10","48.26506986027944"
"1","290","0.30000000000000004","100","true","41.969461077844315","10","48.26506986027944"
"1","300","0.7000000000000001","100","false","20.09740518962076","10","48.26506986027944"
