"search-number","evaluation","grid-size-x*","grid-size-y*","speed-limit*","num-cars*","ticks-per-cycle*","current-auto?*","power?*","fitness","num-replicates","best-fitness-so-far"
"1","10","5","5","2.6000000000000005","200","20","true","true","133.15209580838322","10","133.15209580838322"
"1","20","5","5","0.8","200","20","true","false","161.43213572854293","10","161.43213572854293"
"1","30","5","5","0.8","200","20","true","true","124.6487025948104","10","161.43213572854293"
"1","40","5","5","1.4000000000000001","200","20","true","false","174.30099800399202","10","174.30099800399202"
"1","50","5","5","0.8","200","20","true","false","163.62075848303394","10","174.30099800399202"
"1","60","5","5","2","200","20","true","false","172.39421157684632","10","174.30099800399202"
"1","70","5","5","4.6000000000000005","200","20","true","false","164.91696606786428","10","174.30099800399202"
"1","80","5","5","3.6000000000000005","200","20","true","false","163.02854291417165","10","174.30099800399202"
"1","90","5","5","1.8","200","20","true","true","135.4175648702595","10","174.30099800399202"
"1","100","5","5","2.4000000000000004","200","20","true","false","161.3059880239521","10","174.30099800399202"
"1","110","5","5","1","200","20","true","true","127.19181636726546","10","174.30099800399202"
"1","120","5","5","0.2","200","20","true","false","100.97584830339322","10","174.30099800399202"
"1","130","5","5","2.8000000000000003","200","20","true","true","133.1385229540918","10","174.30099800399202"
"1","140","5","5","2.6000000000000005","200","20","true","true","135.625748502994","10","174.30099800399202"
"1","150","5","5","3.2","200","20","true","true","134.45528942115772","10","174.30099800399202"
"1","160","5","5","3.4000000000000004","200","20","true","true","132.99860279441117","10","174.30099800399202"
"1","170","5","5","1","200","20","true","false","175.23752495009975","10","175.23752495009975"
"1","180","5","5","2","200","20","true","true","131.2389221556886","10","175.23752495009975"
"1","190","5","5","2.2","200","20","true","false","174.29121756487024","10","175.23752495009975"
"1","200","5","5","1.6","200","20","true","false","170.66207584830337","10","175.23752495009975"
"1","210","5","5","3.2","200","20","true","false","164.50279441117763","10","175.23752495009975"
"1","220","5","5","3.4000000000000004","200","20","true","false","164.59700598802397","10","175.23752495009975"
"1","230","5","5","0.4","200","20","true","true","105.73932135728543","10","175.23752495009975"
"1","240","5","5","3.8000000000000003","200","20","true","true","130.37904191616764","10","175.23752495009975"
"1","250","5","5","0.8","200","20","true","true","125.99241516966067","10","175.23752495009975"
"1","260","5","5","1.8","200","20","true","false","168.40419161676647","10","175.23752495009975"
"1","270","5","5","3.2","200","20","true","true","137.4253493013972","10","175.23752495009975"
"1","280","5","5","1.4000000000000001","200","20","true","false","167.58083832335328","10","175.23752495009975"
"1","290","5","5","3.0000000000000004","200","20","true","true","132.1453093812375","10","175.23752495009975"
"1","300","5","5","3.8000000000000003","200","20","true","true","134.32395209580838","10","175.23752495009975"
"1","310","5","5","3.2","200","20","true","false","166.67704590818363","10","175.23752495009975"
"1","320","5","5","3.0000000000000004","200","20","true","false","161.7127744510978","10","175.23752495009975"
